index,total,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unknown
Total,3530,1,0,1,14,139,445,739,713,624,332,244,167,76,20,4,7,4,0
Baden-Württemberg,152,0,0,0,4,4,24,33,23,33,13,10,5,1,0,0,2,0,0
Bavaria,284,0,0,0,0,14,31,48,52,61,36,21,13,7,1,0,0,0,0
Berlin,1629,0,0,0,2,48,212,379,346,298,130,101,75,24,6,2,3,3,0
Brandenburg,52,0,0,0,0,7,2,11,8,10,4,4,3,2,1,0,0,0,0
Bremen,13,0,0,0,0,2,5,2,1,1,0,1,0,1,0,0,0,0,0
Hamburg,175,0,0,0,0,7,20,38,37,21,24,12,10,4,2,0,0,0,0
Hesse,202,0,0,0,2,9,25,26,48,35,26,18,7,6,0,0,0,0,0
Mecklenburg-Vorpommern,7,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0
Lower Saxony,52,1,0,0,1,4,8,10,7,11,3,2,2,2,1,0,0,0,0
North Rhine-Westphalia,783,0,0,1,1,31,85,150,151,131,84,65,46,24,9,2,2,1,0
Rhineland-Palatinate,52,0,0,0,0,1,10,8,9,12,5,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Saxony,67,0,0,0,2,3,15,15,18,5,2,3,2,2,0,0,0,0,0
Saxony-Anhalt,14,0,0,0,0,1,2,6,2,1,0,0,1,1,0,0,0,0,0
Schleswig-Holstein,25,0,0,0,1,3,0,5,7,1,3,4,0,1,0,0,0,0,0
Thuringia,10,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
