index,total,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unknown
Total,3455,0,0,0,13,134,436,719,701,615,330,235,166,71,20,4,6,4,1
Baden-Württemberg,148,0,0,0,4,4,23,32,22,35,13,8,5,1,0,0,1,0,0
Bavaria,276,0,0,0,0,14,31,46,49,61,36,19,13,6,1,0,0,0,0
Berlin,1607,0,0,0,2,47,210,374,342,292,128,99,75,24,6,2,3,3,0
Brandenburg,48,0,0,0,0,7,2,10,7,9,4,4,3,1,1,0,0,0,0
Bremen,12,0,0,0,0,2,4,2,1,1,0,1,0,1,0,0,0,0,0
Hamburg,172,0,0,0,0,7,20,35,37,21,24,12,10,4,2,0,0,0,0
Hesse,195,0,0,0,1,8,24,24,48,34,26,17,7,5,0,0,0,0,1
Mecklenburg-Vorpommern,6,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Lower Saxony,50,0,0,0,1,4,8,10,7,10,3,2,2,2,1,0,0,0,0
North Rhine-Westphalia,763,0,0,0,1,28,82,146,148,129,84,63,45,23,9,2,2,1,0
Rhineland-Palatinate,51,0,0,0,0,1,10,7,9,12,5,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Saxony,67,0,0,0,2,3,14,16,18,5,2,3,2,2,0,0,0,0,0
Saxony-Anhalt,13,0,0,0,0,1,2,6,2,1,0,0,1,0,0,0,0,0,0
Schleswig-Holstein,25,0,0,0,1,3,0,5,7,1,3,4,0,1,0,0,0,0,0
Thuringia,9,0,0,0,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
