index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,3388,0,0,0,11,128,425,704,693,603,325,231,165,69,20,3,6,4,1
Baden-Württemberg,146,0,0,0,4,4,23,32,21,34,13,8,5,1,0,0,1,0,0
Bayern,267,0,0,0,0,14,30,45,48,58,34,19,13,5,1,0,0,0,0
Berlin,1593,0,0,0,1,47,208,366,342,290,128,98,75,24,6,2,3,3,0
Brandenburg,48,0,0,0,0,7,2,10,7,9,4,4,3,1,1,0,0,0,0
Bremen,10,0,0,0,0,2,4,1,1,0,0,1,0,1,0,0,0,0,0
Hamburg,165,0,0,0,0,6,19,35,36,20,23,12,9,3,2,0,0,0,0
Hessen,188,0,0,0,1,8,20,22,47,34,26,17,7,5,0,0,0,0,1
Mecklenburg-Vorpommern,6,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Niedersachsen,47,0,0,0,1,2,8,9,7,10,3,2,2,2,1,0,0,0,0
Nordrhein-Westfalen,750,0,0,0,1,27,81,145,145,126,82,62,45,23,9,1,2,1,0
Rheinland-Pfalz,49,0,0,0,0,1,10,7,8,11,5,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Sachsen,66,0,0,0,2,3,13,16,18,5,2,3,2,2,0,0,0,0,0
Sachsen-Anhalt,11,0,0,0,0,0,1,6,2,1,0,0,1,0,0,0,0,0,0
Schleswig-Holstein,21,0,0,0,0,2,0,4,8,1,3,2,0,1,0,0,0,0,0
Thüringen,8,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0
Unbekannt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
