index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,1921,0,0,0,3,61,228,408,418,373,177,121,86,33,10,0,2,0,1
Baden-Württemberg,78,0,0,0,1,2,11,16,12,20,7,5,3,0,1,0,0,0,0
Bayern,115,0,0,0,0,4,12,13,23,26,16,10,8,3,0,0,0,0,0
Berlin,1098,0,0,0,1,32,133,250,249,221,84,59,52,12,4,0,1,0,0
Brandenburg,31,0,0,0,0,5,1,7,4,7,2,2,1,1,1,0,0,0,0
Bremen,4,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
Hamburg,92,0,0,0,0,4,8,20,25,13,14,5,3,0,0,0,0,0,0
Hessen,72,0,0,0,0,2,6,5,19,15,12,10,2,0,0,0,0,0,1
Mecklenburg-Vorpommern,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Niedersachsen,23,0,0,0,1,1,1,4,5,6,2,1,0,1,1,0,0,0,0
Nordrhein-Westfalen,324,0,0,0,0,7,37,70,63,55,33,25,17,13,3,0,1,0,0
Rheinland-Pfalz,21,0,0,0,0,0,6,4,4,6,1,0,0,0,0,0,0,0,0
Saarland,7,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0
Sachsen,29,0,0,0,0,1,6,7,7,3,2,2,0,1,0,0,0,0,0
Sachsen-Anhalt,7,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,13,0,0,0,0,1,0,3,4,0,2,2,0,1,0,0,0,0,0
Thüringen,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
Unbekannt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
